色比較テスト  同じ商品ペア 60組 / 違う商品ペア 270組

【新・色内訳(ヒストグラム) 距離 0=同色〜1=全然違う】
  同じ商品:  中央 0.344 / 75% 0.472 / 90% 0.768 / 最大 0.950
  違う商品:  10% 0.539 / 25% 0.653 / 中央 0.784

【しきい値ごとの成績（新・色内訳）】
  しきい値   同じ商品を残せる率   違う商品を弾ける率
   0.35       56.7%              99.3%
   0.40       66.7%              97.4%
   0.45       75.0%              94.8%
   0.50       78.3%              92.6%
   0.55       80.0%              87.8%
   0.60       81.7%              83.0%
   0.65       81.7%              76.3%
   0.70       86.7%              68.1%

【参考: 旧・平均色 距離 での成績】
  しきい値   同じ商品を残せる率   違う商品を弾ける率
     20      65.0%              84.4%
     25      83.3%              78.9%
     30      83.3%              71.5%
     35      86.7%              65.2%
     40      90.0%              60.4%
     50      93.3%              53.0%
